"Date","Close Price"
2010-10-11,"       3074.45"
2010-10-12,"       3075.20"
2010-10-13,"       3152.85"
2010-10-14,"       3185.25"
2010-10-15,"       3076.30"
2010-10-18,"       3107.05"
2010-10-19,"       3010.20"
2010-10-20,"       3018.60"
2010-10-21,"       3034.45"
2010-10-22,"       3053.15"
2010-10-25,"       3019.15"
2010-10-26,"       3013.85"
2010-10-27,"       2980.20"
2010-10-28,"       2970.85"
2010-10-29,"       2971.70"
2010-11-01,"       3001.65"
2010-11-02,"       3027.05"
2010-11-03,"       3024.35"
2010-11-04,"       3077.15"
2010-11-05,"       3081.65"
2010-11-08,"       3015.90"
2010-11-09,"       3059.80"
2010-11-10,"       3082.65"
2010-11-11,"       3054.65"
2010-11-12,"       2997.85"
2010-11-15,"       3030.05"
2010-11-16,"       2970.95"
2010-11-18,"       3003.95"
2010-11-19,"       2963.80"
2010-11-22,"       3043.70"
2010-11-23,"       3012.10"
2010-11-24,"       2995.90"
2010-11-25,"       3064.35"
2010-11-26,"       3042.05"
2010-11-29,"       3063.95"
2010-11-30,"       3051.00"
2010-12-01,"       3052.40"
2010-12-02,"       3098.50"
2010-12-03,"       3125.00"
2010-12-06,"       3143.40"
2010-12-07,"       3178.60"
2010-12-08,"       3131.15"
2010-12-09,"       3151.45"
2010-12-10,"       3144.25"
2010-12-13,"       3145.30"
2010-12-14,"       3158.65"
2010-12-15,"       3203.45"
2010-12-16,"       3293.30"
2010-12-20,"       3349.95"
2010-12-21,"       3329.25"
2010-12-22,"       3332.50"
2010-12-23,"       3367.90"
2010-12-24,"       3370.15"
2010-12-27,"       3376.90"
2010-12-28,"       3382.65"
2010-12-29,"       3404.90"
2010-12-30,"       3446.95"
2010-12-31,"       3442.75"
2011-01-03,"       3458.35"
2011-01-04,"       3481.45"
2011-01-05,"       3459.60"
2011-01-06,"       3478.15"
2011-01-07,"       3370.75"
2011-01-10,"       3395.75"
2011-01-11,"       3325.70"
2011-01-12,"       3377.30"
2011-01-13,"       3205.20"
2011-01-14,"       3204.30"
2011-01-17,"       3268.80"
2011-01-18,"       3323.00"
2011-01-19,"       3249.60"
2011-01-20,"       3295.90"
2011-01-21,"       3243.85"
2011-01-24,"       3284.65"
2011-01-25,"       3259.65"
2011-01-27,"       3196.90"
2011-01-28,"       3168.15"
2011-01-31,"       3117.70"
2011-02-01,"       3089.20"
2011-02-02,"       3089.25"
2011-02-03,"       3117.60"
2011-02-04,"       3047.90"
2011-02-07,"       3087.45"
2011-02-08,"       3096.60"
2011-02-09,"       3130.70"
2011-02-10,"       3053.20"
2011-02-11,"       3040.85"
2011-02-14,"       3104.55"
2011-02-15,"       3106.55"
2011-02-16,"       3103.00"
2011-02-17,"       3113.35"
2011-02-18,"       3100.30"
2011-02-21,"       3165.25"
2011-02-22,"       3141.85"
2011-02-23,"       3078.80"
2011-02-24,"       3008.80"
2011-02-25,"       3007.30"
2011-02-28,"       2997.10"
2011-03-01,"       3082.40"
2011-03-03,"       3026.10"
2011-03-04,"       3062.20"
2011-03-07,"       3042.70"
2011-03-08,"       3116.30"
2011-03-09,"       3095.50"
2011-03-10,"       3090.25"
2011-03-11,"       3053.90"
2011-03-14,"       3100.80"
2011-03-15,"       3030.15"
2011-03-16,"       3030.90"
2011-03-17,"       2978.70"
2011-03-18,"       2941.10"
2011-03-21,"       2922.30"
2011-03-22,"       2943.05"
2011-03-23,"       2993.35"
2011-03-24,"       3002.80"
2011-03-25,"       3163.05"
2011-03-28,"       3139.55"
2011-03-29,"       3173.35"
2011-03-30,"       3170.90"
2011-03-31,"       3241.30"
2011-04-01,"       3218.15"
2011-04-04,"       3283.15"
2011-04-05,"       3283.25"
2011-04-06,"       3275.15"
2011-04-07,"       3245.90"
2011-04-08,"       3227.30"
2011-04-11,"       3241.60"
2011-04-13,"       3306.20"
2011-04-15,"       2989.50"
2011-04-18,"       2906.10"
2011-04-19,"       2887.35"
2011-04-20,"       2907.30"
2011-04-21,"       2910.00"
2011-04-25,"       2941.30"
2011-04-26,"       2942.35"
2011-04-27,"       2953.15"
2011-04-28,"       2929.15"
2011-04-29,"       2906.25"
2011-05-02,"       2922.55"
2011-05-03,"       2911.05"
2011-05-04,"       2869.75"
2011-05-05,"       2848.50"
2011-05-06,"       2893.00"
2011-05-06,"       2893.00"
2011-05-09,"       2908.55"
2011-05-10,"       2880.05"
2011-05-11,"       2906.05"
2011-05-12,"       2881.25"
2011-05-13,"       2878.35"
2011-05-16,"       2850.40"
2011-05-17,"       2844.15"
2011-05-18,"       2842.50"
2011-05-19,"       2846.45"
2011-05-20,"       2849.85"
2011-05-23,"       2837.05"
2011-05-24,"       2844.50"
2011-05-25,"       2788.65"
2011-05-26,"       2776.55"
2011-05-27,"       2787.50"
2011-05-30,"       2780.60"
2011-05-31,"       2785.65"
2011-06-01,"       2811.55"
2011-06-02,"       2803.05"
2011-06-03,"       2816.20"
2011-06-06,"       2837.90"
2011-06-07,"       2892.55"
2011-06-08,"       2871.70"
2011-06-09,"       2861.50"
2011-06-10,"       2862.35"
2011-06-13,"       2877.60"
2011-06-14,"       2872.30"
2011-06-15,"       2835.60"
2011-06-16,"       2800.30"
2011-06-17,"       2769.65"
2011-06-20,"       2709.55"
2011-06-21,"       2727.15"
2011-06-22,"       2755.05"
2011-06-23,"       2779.10"
2011-06-24,"       2859.95"
2011-06-27,"       2871.05"
2011-06-28,"       2865.30"
2011-06-29,"       2881.75"
2011-06-30,"       2910.45"
2011-07-01,"       2934.15"
2011-07-04,"       2938.95"
2011-07-05,"       2956.45"
2011-07-06,"       2953.70"
2011-07-07,"       2995.70"
2011-07-08,"       2976.55"
2011-07-11,"       2921.15"
2011-07-12,"       2791.55"
2011-07-13,"       2777.30"
2011-07-14,"       2740.35"
2011-07-15,"       2731.35"
2011-07-18,"       2713.40"
2011-07-19,"       2750.50"
2011-07-20,"       2752.45"
2011-07-21,"       2768.10"
2011-07-22,"       2828.25"
2011-07-25,"       2807.75"
2011-07-26,"       2801.80"
2011-07-27,"       2796.65"
2011-07-28,"       2751.10"
2011-07-29,"       2775.90"
2011-08-01,"       2815.10"
2011-08-02,"       2750.95"
2011-08-03,"       2732.60"
2011-08-04,"       2709.15"
2011-08-05,"       2591.20"
2011-08-08,"       2470.50"
2011-08-09,"       2374.55"
2011-08-09,"       2374.55"
2011-08-10,"       2447.10"
2011-08-11,"       2440.60"
2011-08-12,"       2375.20"
2011-08-16,"       2399.30"
2011-08-17,"       2448.95"
2011-08-18,"       2354.10"
2011-08-19,"       2224.70"
2011-08-22,"       2194.60"
2011-08-23,"       2276.95"
2011-08-24,"       2250.90"
2011-08-25,"       2183.40"
2011-08-26,"       2202.55"
2011-08-29,"       2296.25"
2011-08-30,"       2342.95"
2011-09-02,"       2319.20"
2011-09-05,"       2265.10"
2011-09-06,"       2302.55"
2011-09-07,"       2291.45"
2011-09-08,"       2338.45"
2011-09-09,"       2274.30"
2011-09-12,"       2200.00"
2011-09-12,"       2198.45"
2011-09-13,"       2222.05"
2011-09-14,"       2351.65"
2011-09-15,"       2409.90"
2011-09-16,"       2395.15"
2011-09-19,"       2362.65"
2011-09-20,"       2436.55"
2011-09-21,"       2435.65"
2011-09-22,"       2352.60"
2011-09-23,"       2338.80"
2011-09-26,"       2355.00"
2011-09-27,"       2444.15"
2011-09-28,"       2470.25"
2011-09-29,"       2551.10"
2011-09-30,"       2533.05"
2011-10-03,"       2475.90"
2011-10-04,"       2438.50"
2011-10-05,"       2446.95"
2011-10-07,"       2508.70"
2011-10-10,"       2589.95"
2011-10-11,"       2504.55"
2011-10-12,"       2679.35"
2011-10-13,"       2696.70"
2011-10-14,"       2743.75"
2011-10-17,"       2746.55"
2011-10-18,"       2701.55"
2011-10-19,"       2727.75"
2011-10-20,"       2747.55"
2011-10-21,"       2722.65"
2011-10-24,"       2767.30"
2011-10-24,"       2767.30"
2011-10-25,"       2858.70"
2011-10-26,"       2838.65"
2011-10-28,"       2858.65"
2011-10-31,"       2877.55"
2011-11-01,"       2836.60"
2011-11-02,"       2834.40"
2011-11-03,"       2802.10"
2011-11-04,"       2825.95"
2011-11-08,"       2842.10"
2011-11-09,"       2835.30"
2011-11-11,"       2775.70"
2011-11-14,"       2808.80"
2011-11-15,"       2798.30"
2011-11-16,"       2778.30"
2011-11-17,"       2753.50"
2011-11-18,"       2740.80"
2011-11-21,"       2670.10"
2011-11-22,"       2724.00"
2011-11-23,"       2652.65"
2011-11-24,"       2666.20"
2011-11-25,"       2599.70"
2011-11-28,"       2636.15"
2011-11-29,"       2597.95"
2011-11-30,"       2606.85"
2011-12-01,"       2655.35"
2011-12-02,"       2694.15"
2011-12-05,"       2701.15"
2011-12-07,"       2758.95"
2011-12-08,"       2723.45"
2011-12-09,"       2710.30"
2011-12-12,"       2740.25"
2011-12-13,"       2752.20"
2011-12-14,"       2740.25"
2011-12-15,"       2716.35"
2011-12-16,"       2724.50"
2011-12-19,"       2676.40"
2011-12-20,"       2668.75"
2011-12-21,"       2743.00"
2011-12-22,"       2720.85"
2011-12-23,"       2694.75"
2011-12-26,"       2775.85"
2011-12-27,"       2759.40"
2011-12-28,"       2782.00"
2011-12-29,"       2742.10"
2011-12-30,"       2767.65"
2012-01-02,"       2808.95"
2012-01-03,"       2864.30"
2012-01-04,"       2854.40"
2012-01-05,"       2840.15"
2012-01-06,"       2832.15"
2012-01-07,"       2835.20"
2012-01-09,"       2836.55"
2012-01-10,"       2863.60"
2012-01-11,"       2826.60"
2012-01-12,"       2588.25"
2012-01-13,"       2584.20"
2012-01-16,"       2640.15"
2012-01-17,"       2662.05"
2012-01-18,"       2612.05"
2012-01-19,"       2594.70"
2012-01-20,"       2588.80"
2012-01-23,"       2600.30"
2012-01-24,"       2620.80"
2012-01-25,"       2665.80"
2012-01-27,"       2725.00"
2012-01-30,"       2712.30"
2012-01-31,"       2746.00"
2012-02-01,"       2742.70"
2012-02-02,"       2757.00"
2012-02-03,"       2783.25"
2012-02-06,"       2777.10"
2012-02-07,"       2727.50"
2012-02-08,"       2769.15"
2012-02-09,"       2809.90"
2012-02-10,"       2790.40"
2012-02-13,"       2788.40"
2012-02-14,"       2801.05"
2012-02-15,"       2864.10"
2012-02-16,"       2908.95"
2012-02-17,"       2947.80"
2012-02-21,"       2938.25"
2012-02-22,"       2952.25"
2012-02-23,"       2933.15"
2012-02-24,"       2948.05"
2012-02-27,"       2883.35"
2012-02-28,"       2872.40"
2012-02-29,"       2883.45"
2012-03-01,"       2856.65"
2012-03-02,"       2845.70"
2012-03-03,"       2858.10"
2012-03-05,"       2809.85"
2012-03-06,"       2852.45"
2012-03-07,"       2883.85"
2012-03-09,"       2855.30"
2012-03-12,"       2817.40"
2012-03-13,"       2859.80"
2012-03-14,"       2878.85"
2012-03-15,"       2881.90"
2012-03-16,"       2864.95"
2012-03-19,"       2837.50"
2012-03-20,"       2831.35"
2012-03-21,"       2867.30"
2012-03-22,"       2828.30"
2012-03-23,"       2872.70"
2012-03-26,"       2830.75"
2012-03-27,"       2875.90"
2012-03-28,"       2843.10"
2012-03-29,"       2792.00"
2012-03-30,"       2866.30"
2012-04-02,"       2850.20"
2012-04-03,"       2858.45"
2012-04-04,"       2851.10"
2012-04-09,"       2822.75"
2012-04-10,"       2771.40"
2012-04-11,"       2804.40"
2012-04-12,"       2750.65"
2012-04-13,"       2402.55"
2012-04-16,"       2364.55"
2012-04-17,"       2380.70"
2012-04-18,"       2371.25"
2012-04-19,"       2405.40"
2012-04-20,"       2407.40"
2012-04-23,"       2310.90"
2012-04-24,"       2349.55"
2012-04-25,"       2349.95"
2012-04-26,"       2356.20"
2012-04-27,"       2391.00"
2012-04-28,"       2395.80"
2012-04-30,"       2462.10"
2012-05-02,"       2472.00"
2012-05-03,"       2482.90"
2012-05-04,"       2441.95"
2012-05-07,"       2437.60"
2012-05-08,"       2393.90"
2012-05-09,"       2366.25"
2012-05-10,"       2344.20"
2012-05-11,"       2311.30"
2012-05-14,"       2338.95"
2012-05-15,"       2415.20"
2012-05-16,"       2368.45"
2012-05-17,"       2370.55"
2012-05-18,"       2382.85"
2012-05-21,"       2340.45"
2012-05-22,"       2341.10"
2012-05-23,"       2348.20"
2012-05-24,"       2380.80"
2012-05-25,"       2372.85"
2012-05-28,"       2385.80"
2012-05-29,"       2409.50"
2012-05-30,"       2432.30"
2012-05-31,"       2429.35"
2012-06-01,"       2389.20"
2012-06-04,"       2385.60"
2012-06-05,"       2388.85"
2012-06-06,"       2415.50"
2012-06-07,"       2452.95"
2012-06-08,"       2419.25"
2012-06-11,"       2425.65"
2012-06-12,"       2458.05"
2012-06-13,"       2470.10"
2012-06-14,"       2498.30"
2012-06-15,"       2522.55"
2012-06-18,"       2511.70"
2012-06-19,"       2477.00"
2012-06-20,"       2470.10"
2012-06-21,"       2491.30"
2012-06-22,"       2474.45"
2012-06-25,"       2468.15"
2012-06-26,"       2440.40"
2012-06-27,"       2468.10"
2012-06-28,"       2473.30"
2012-06-29,"       2509.20"
2012-07-02,"       2499.40"
2012-07-03,"       2490.55"
2012-07-04,"       2479.40"
2012-07-05,"       2480.25"
2012-07-06,"       2444.65"
2012-07-09,"       2437.95"
2012-07-09,"       2437.95"
2012-07-10,"       2459.40"
2012-07-11,"       2471.00"
2012-07-12,"       2264.40"
2012-07-13,"       2229.80"
2012-07-16,"       2171.30"
2012-07-17,"       2171.25"
2012-07-18,"       2178.90"
2012-07-19,"       2245.20"
2012-07-20,"       2218.75"
2012-07-23,"       2189.10"
2012-07-24,"       2168.65"
2012-07-25,"       2168.55"
2012-07-26,"       2123.80"
2012-07-27,"       2148.65"
2012-07-30,"       2209.70"
2012-07-31,"       2226.95"
2012-08-01,"       2218.55"
2012-08-02,"       2205.75"
2012-08-03,"       2208.50"
2012-08-06,"       2216.80"
2012-08-07,"       2253.30"
2012-08-08,"       2283.60"
2012-08-09,"       2282.05"
2012-08-10,"       2313.05"
2012-08-13,"       2320.10"
2012-08-14,"       2329.35"
2012-08-16,"       2315.45"
2012-08-17,"       2351.05"
2012-08-21,"       2409.00"
2012-08-22,"       2433.60"
2012-08-23,"       2477.20"
2012-08-24,"       2444.80"
2012-08-27,"       2411.90"
2012-08-28,"       2421.15"
2012-08-29,"       2388.30"
2012-08-30,"       2392.70"
2012-08-31,"       2361.65"
2012-09-03,"       2365.10"
2012-09-04,"       2360.80"
2012-09-05,"       2339.45"
2012-09-06,"       2422.00"
2012-09-07,"       2487.25"
2012-09-08,"       2496.00"
2012-09-10,"       2512.35"
2012-09-11,"       2529.50"
2012-09-12,"       2539.70"
2012-09-13,"       2555.05"
2012-09-14,"       2632.10"
2012-09-17,"       2564.50"
2012-09-18,"       2600.80"
2012-09-20,"       2617.20"
2012-09-21,"       2593.30"
2012-09-24,"       2600.15"
2012-09-25,"       2598.05"
2012-09-26,"       2589.30"
2012-09-27,"       2549.35"
2012-09-28,"       2534.95"
2012-10-01,"       2609.65"
2012-10-03,"       2578.25"
2012-10-04,"       2575.65"
2012-10-05,"       2526.85"
2012-10-08,"       2488.20"
2012-10-09,"       2536.25"
2012-10-10,"       2504.15"
2012-10-11,"       2533.20"
2012-10-12,"       2395.35"
2012-10-15,"       2365.60"
2012-10-16,"       2355.70"
2012-10-17,"       2370.15"
2012-10-18,"       2377.60"
2012-10-19,"       2383.35"
2012-10-22,"       2385.55"
2012-10-23,"       2353.10"
2012-10-25,"       2344.75"
2012-10-26,"       2329.60"
2012-10-29,"       2335.50"
2012-10-30,"       2358.35"
2012-10-31,"       2363.00"
2012-11-01,"       2364.65"
2012-11-02,"       2388.10"
2012-11-05,"       2378.45"
2012-11-06,"       2381.65"
2012-11-07,"       2404.40"
2012-11-08,"       2375.30"
2012-11-09,"       2348.70"
2012-11-12,"       2358.95"
2012-11-13,"       2338.30"
2012-11-15,"       2296.30"
2012-11-16,"       2343.35"
2012-11-19,"       2358.55"
2012-11-20,"       2324.75"
2012-11-21,"       2349.85"
2012-11-22,"       2382.60"
2012-11-23,"       2377.55"
2012-11-26,"       2417.40"
2012-11-27,"       2470.65"
